Scholarship_Name,Sponsoring_Entity,Category,Coverage,Academic_Level,Target_Beneficiaries,Key_Benefits,Application_Window,Typical_Deadline_2025,Official_Application_URL,Official_Info_Source_URL,Notes
AICTE SWANATH Scholarship Scheme,"AICTE, Ministry of Education, GoI",Government - Central,India,"Diploma, UG (Technical)",Wards of Armed Forces/CAPF martyred; COVID-affected; orphan students,"₹50,000 per annum (lump sum)",Usually Aug–Oct,31-Oct-2025,https://fellowship.aicte.gov.in/Scheme%20Guidelines,https://scholarships.gov.in/public/schemeGuidelines/AICTE/AICTE_3038_G.pdf,2000 scholarships annually (1000 degree + 1000 diploma).
AICTE PG Scholarship (GATE/GPAT/CEED),"AICTE, Ministry of Education, GoI",Government - Central,India,"PG (M.E./M.Tech./M.Arch./M.Pharm., etc.)",Full‑time GATE/GPAT/CEED‑qualified students in AICTE‑approved programs,"₹12,400 per month stipend",Typically Aug–Nov,30-Nov-2025,https://aicte-india.org/schemes/students-development-schemes/PG-Scholarship-Scheme,https://aicte.gov.in/sites/default/files/GUIDELINES%20FOR%20PG%20scholarship.pdf,Institute verification mandatory via AICTE portal.
UGC PG Merit Scholarship for University Rank Holders,University Grants Commission (UGC),Government - Central,India,PG,UG First/Second rank holders (General/Honours) admitted to PG programs,"₹3,100 per month for 2 years",Usually Aug–Nov,30-Nov-2025,https://scholarships.gov.in/public/schemeGuidelines/GuidelinesUGCUniversityRankHolder1819.pdf,https://www.ugc.gov.in/oldpdf/xplanpdf/ig_pgm_guideline.pdf,Renewable in 2nd year subject to performance.
UGC PG Scholarship for SC/ST Students Pursuing Professional Courses,University Grants Commission (UGC),Government - Central,India,PG (Professional),SC/ST students in professional PG programmes,"₹7,800 per month (ME/MTech) or ₹4,500 (other professional PGs)",Usually Aug–Nov,30-Nov-2025,https://scholarships.gov.in/public/schemeGuidelines/guidelines_pgsprof_gl1819.pdf,https://www.myscheme.gov.in/schemes/pgspcscstc,Institute/UGC verification required via NSP/UGC portal.
Post‑Matric Scholarship for Minorities (PMS‑M),"Ministry of Minority Affairs, GoI",Government - Central,India,Class 11–PhD (Post‑Matric),Students from notified minority communities,Admission/tuition fee + maintenance allowance (as per norms),Varies by cycle; typically Aug–Nov,30-Nov-2025,https://scholarships.gov.in/All-Scholarships,https://www.minorityaffairs.gov.in/show_content.php?lang=1&level=2&lid=165&ls_id=163,Apply via NSP; institute verification mandatory.
"National Overseas Scholarship (NOS) – SC, DNT, EBC","Ministry of Social Justice & Empowerment (MoSJE), GoI",Government - Central,Abroad (specified countries/universities),"PG (Masters), PhD","SC, De-notified, Nomadic & Semi-nomadic Tribes, EBC with low income",Tuition + living + other admissible expenses,Notifications usually Feb–May,31-May-2025,https://www.nosmsje.gov.in/,https://socialjustice.gov.in/schemes/28,Category-wise slots; income and ranking criteria apply.
National Overseas Scholarship – ST,"Ministry of Tribal Affairs (MoTA), GoI",Government - Central,Abroad (specified),"PG (Masters), PhD, Post‑Doc",Scheduled Tribe candidates (income & merit conditions),Tuition + living + travel + contingencies,Notifications vary; usually Apr–Aug,31-Jul-2025,https://overseas.tribal.gov.in/,https://www.myscheme.gov.in/schemes/css-nos-st,Apply on MoTA portal when cycle opens.
Prime Minister’s Scholarship Scheme (PMSS) – CAPFs & Assam Rifles,Ministry of Home Affairs / WARB,Government - Central,India,UG/PG (professional),Wards & widows of CAPFs/Assam Rifles personnel; select State Police martyr cases,"₹2,500 (boys) / ₹3,000 (girls) per month; limited seats",Typically Aug–Oct,31-Oct-2025,https://scholarships.gov.in/public/schemeGuidelines/warb/G_1197_3001.pdf,https://www.myscheme.gov.in/schemes/pmsswcapfar,Apply via NSP; two wards per family cap.
Prime Minister’s Scholarship Scheme – RPF/RPSF,Ministry of Railways,Government - Central,India,UG/PG (professional),Wards & widows of ex/serving RPF/RPSF personnel,"₹2,500 (boys) / ₹3,000 (girls) per month; ~150 seats",Typically Aug–Oct,31-Oct-2025,https://scholarships.gov.in/public/schemeGuidelines/MORB_GL.pdf,https://www.myscheme.gov.in/schemes/pmssrpf,Apply via NSP; professional degree courses only.
K. C. Mahindra Scholarships for Post‑Graduate Studies Abroad,K. C. Mahindra Education Trust,Foundation/Trust,Abroad,"PG (Masters), PhD",Indian graduates with admission to reputed foreign universities,Interest‑free loan scholarship up to ₹10 lakh (with top‑ups),Typically Jan–Mar,15-Mar-2025,https://www.kcmet.org/what-we-do-scholarship-grants.aspx,https://www.mahindra.com/news-room/press-release/kcmet-post-grad-overseas-scholarship-2024,Selection includes aptitude test/interview; awards vary by merit.
J. N. Tata Endowment – Loan Scholarships,The J. N. Tata Endowment,Foundation/Trust,Abroad,"PG, PhD, Post‑Doc",Indian citizens admitted to overseas universities,Loan scholarship ₹1–10 lakh (2% interest); travel/contingency grants possible,Typically Jan–Mar,15-Mar-2025,https://jntataendowment.org/,https://jntataendowment.org/loan-scholarship-process/,One‑time loan; separate travel/grant components by selection.
Narotam Sekhsaria Postgraduate Scholarship (Interest‑free loan),Narotam Sekhsaria Foundation,Foundation/Trust,India & Abroad (select disciplines),PG,Meritorious Indian students admitted to top universities,"Merit‑based, interest‑free loan scholarship (amount variable)",Typically Jan–Mar,15-Mar-2025,https://pg.nsfoundation.co.in/,https://pg.nsfoundation.co.in/application-process/,Includes mentorship; bond‑free loan with repayment schedule.
Inlaks Shivdasani Scholarships,Inlaks Shivdasani Foundation,Foundation/Trust,Abroad (select universities & fields),PG (primarily Masters),Outstanding Indian students (age limits apply),"Up to USD 100,000; tuition + living + travel + health allowance",Typically Jan–Mar,31-Mar-2025,https://inlaksfoundation.org/opportunities/scholarship/,https://inlaksfoundation.org/,Certain subjects/institutions excluded; separate art/design awards exist.
