Scholarship_Name,Sponsoring_Entity,Category,Coverage,Academic_Level,Target_Beneficiaries,Key_Benefits,Application_Window,Typical_Deadline_2025,Official_Application_URL,Official_Info_Source_URL,Notes
Central Sector Scheme of Scholarships for College and University Students (CSSS),"Department of Higher Education, Ministry of Education, GoI",Government - Central,India,UG / PG / Integrated,Merit + Means (top performers in Class 12; income ceiling applies),"₹12,000/yr for UG (typically first 3 years) and ₹20,000/yr for PG/4th-5th year of integrated",Usually Aug–Nov via NSP,31-Oct-2025,https://scholarships.gov.in/,https://www.education.gov.in/en/scholarships-education,Benefits may vary slightly by latest circular; verify on NSP.
National Means-cum-Merit Scholarship (NMMS),"Department of School Education & Literacy, Ministry of Education, GoI",Government - Central,India,School (Class 9–12),Merit + Means (Class 8 exam qualifiers; income ceiling),"₹12,000 per year (₹1,000/month) till Class 12",State-wise tests; NSP window typically Sep–Nov,31-Oct-2025,https://scholarships.gov.in/,https://nmmse.kerala.gov.in/,State education departments conduct NMMS exam; amounts uniform nationally.
INSPIRE Scholarship for Higher Education (SHE),"Department of Science & Technology (DST), GoI",Government - Central,India,UG / Integrated PG (Natural & Basic Sciences),Top science stream students (MERIT),"₹80,000 per year (₹60,000 scholarship + ₹20,000 summer research grant)",Typically Oct–Dec,15-Dec-2025,https://online-inspire.gov.in/,https://www.myscheme.gov.in/schemes/inspire-she,"10,000–12,000 awards annually; check exact calendar each year."
Prime Minister’s Research Fellowship (PMRF),"Ministry of Education, GoI",Government - Central (Fellowship),India,Doctoral (PhD),Exceptional PhD applicants in PMRF host institutes,"₹70,000–₹80,000/month stipend + ₹2,00,000/yr research grant (up to 5 years)",Usually 2 cycles/year,Varies by cycle,https://www.pmrf.in/,https://www.jnu.ac.in/content/PMRF,Direct and lateral entry routes; eligibility & host list on PMRF site.
Top Class Education Scheme for SC Students,"Ministry of Social Justice & Empowerment, GoI",Government - Central,India,UG / PG / Professional,Scheduled Caste students admitted to notified institutions (income ≤ ₹8L),"Full tuition (ceilings apply) + academic allowance (₹86,000 first year; ₹41,000 subsequent)",Aug–Dec via NSP,31-Oct-2025,https://scholarships.gov.in/,https://tcs.dosje.gov.in/,See latest scheme guidelines for fee ceilings & eligible institutes.
Top Class Education Scholarship for ST Students (under NFST),"Ministry of Tribal Affairs, GoI",Government - Central,India,UG / PG / Professional (notified institutes),Scheduled Tribe students (income ceiling applies),Full tuition + living expenses + laptop (as per guidelines),Sep–Dec via NSP,15-Dec-2025,https://scholarships.gov.in/,https://scholarships.gov.in/,Confirm latest ceilings & institute lists on MoTA/NSP.
Pre-Matric & Post-Matric Scholarships for Students with Disabilities,"Department of Empowerment of Persons with Disabilities (DEPwD), GoI",Government - Central,India,Pre-matric / Post-matric / Higher education,Students with benchmark disabilities,"Maintenance allowance, book allowance, tuition support (as per level)",Aug–Nov via NSP,31-Oct-2025,https://scholarships.gov.in/,https://disabilityaffairs.gov.in/,Separate ‘Top Class Education for PwD’ also available under DEPwD.
AICTE Pragati Scholarship for Girls (Degree/Diploma),"AICTE, Ministry of Education, GoI",Government - Central,India,Diploma / UG (Engineering/Technology),Girl students admitted to AICTE-approved institutions,"₹50,000 per year (tuition/support) + other admissible expenses",Sep–Oct via NSP/AICTE,31-Oct-2025,https://www.aicte-india.org/schemes/students-development-schemes,https://www.aicte-india.org/bureaus/jk/Pragati,Family income ceiling applies; limited slots.
AICTE Saksham Scholarship for Specially-Abled Students,"AICTE, Ministry of Education, GoI",Government - Central,India,Diploma / UG (Engineering/Technology),Students with disability admitted to AICTE-approved institutions,"₹50,000 per year (tuition/support) + other admissible expenses",Sep–Oct via NSP/AICTE,31-Oct-2025,https://www.aicte-india.org/schemes/students-development-schemes,https://www.aicte-india.org/bureaus/jk/Saksham,Disability certificate required; limited slots.
Prime Minister’s Special Scholarship Scheme (PMSSS) – J&K & Ladakh,"AICTE, Ministry of Education, GoI",Government - Central,"Jammu & Kashmir, Ladakh",UG (various streams),Domicile students of J&K and Ladakh,Tuition + maintenance up to prescribed ceilings,Usually May–Aug,31-Jul-2025,https://www.aicte-jk-scholarship-gov.in/,https://www.aicte-india.org/bureaus/jkpmss,Seat allotment via AICTE; verify latest notifications.
